Format :

name
found in file
CRC (hex)		Hash Code (dec)
Zone_Br05_path_bmm2_4       UNIVERSE\SYSTEMS\BR05\br05.ini      0xfa4dcc33		3053944012
Zone_Br05_path_bmm2_5       UNIVERSE\SYSTEMS\BR05\br05.ini      0xf34afca5		2517067980
Zone_Br05_path_bmm2_6       UNIVERSE\SYSTEMS\BR05\br05.ini      0xe843ad1f		3053917388
Zone_Br05_path_bmm2_7       UNIVERSE\SYSTEMS\BR05\br05.ini      0xe1449d89		2517041356
Zone_Br05_path_bmm2_8       UNIVERSE\SYSTEMS\BR05\br05.ini      0xfbfb8018		3053898956
Zone_Br05_path_mollys1_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0xff34cc1a		2541166536
mollys1         UNIVERSE\SYSTEMS\BR05\br05.ini      0x02439c63		2866917512
Zone_Br05_path_mollys2_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0xff5ef043		2608267720
mollys2         UNIVERSE\SYSTEMS\BR05\br05.ini      0x194acdd9		2330053768
Zone_Br05_path_mollys2_2        UNIVERSE\SYSTEMS\BR05\br05.ini      0xe457a1f9		3145170376
Zone_Br05_path_mollys2_3        UNIVERSE\SYSTEMS\BR05\br05.ini      0xed50916f		2608294344
Zone_Br05_path_mollys3_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0x0078e474		2675379144
mollys3         UNIVERSE\SYSTEMS\BR05\br05.ini      0x104dfd4f		2866927752
Zone_Br05_path_mollys3_2        UNIVERSE\SYSTEMS\BR05\br05.ini      0x1b71b5ce		3212277704
Zone_Br05_path_mollys3_3        UNIVERSE\SYSTEMS\BR05\br05.ini      0x12768558		2675401672
Zone_Br05_path_mollys3_4        UNIVERSE\SYSTEMS\BR05\br05.ini      0xf61210fb		3212283848
Zone_Br05_path_mollys3_5        UNIVERSE\SYSTEMS\BR05\br05.ini      0xff15206d		2675416008
Zone_Br05_path_mollys4_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0xff7588f1		2205629896
mollys4         UNIVERSE\SYSTEMS\BR05\br05.ini      0xf42968ec		2330014856
Zone_Br05_path_mollys4_2        UNIVERSE\SYSTEMS\BR05\br05.ini      0xe47cd94b		2742501832
Zone_Br05_path_mollys4_3        UNIVERSE\SYSTEMS\BR05\br05.ini      0xed7be9dd		2205636040
Zone_Br05_path_mollys4_4        UNIVERSE\SYSTEMS\BR05\br05.ini      0x091f7c7e		2742532552
Zone_Br05_path_mollys4_5        UNIVERSE\SYSTEMS\BR05\br05.ini      0x00184ce8		2205658568
Zone_Br05_path_img1_1       UNIVERSE\SYSTEMS\BR05\br05.ini      0x13add7d4		2589075075
img1        UNIVERSE\SYSTEMS\BR05\br05.ini      0xe04f0058		2574492225
Zone_Br05_path_img2_1       UNIVERSE\SYSTEMS\BR05\br05.ini      0x13c7eb8d		2521970819
img2        UNIVERSE\SYSTEMS\BR05\br05.ini      0xfb4651e2		3111378497
Zone_Br05_path_img2_2       UNIVERSE\SYSTEMS\BR05\br05.ini      0x08ceba37		3058844803
Zone_Br05_path_img2_3       UNIVERSE\SYSTEMS\BR05\br05.ini      0x01c98aa1		2521976963
Zone_Br05_path_img2_4       UNIVERSE\SYSTEMS\BR05\br05.ini      0xe5ad1f02		3058875523
Zone_Br05_path_img2_5       UNIVERSE\SYSTEMS\BR05\br05.ini      0xecaa2f94		2521999491
Zone_Br05_path_img2_6       UNIVERSE\SYSTEMS\BR05\br05.ini      0xf7a37e2e		3058881667
Br05_space_tankl4x4_dmg_1       UNIVERSE\SYSTEMS\BR05\br05.ini      0x07ee2fd8		2602906189
Br05_space_beamx_dmg_1      UNIVERSE\SYSTEMS\BR05\br05.ini      0x052a9569		2327419791
Br05_space_tanklx4_dmg_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0xec25e976		2928287052
Br05_space_tankl_3dmg_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0x15a40266		3054559876
Br05_space_tanks_3dmg_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0xf6182eea		2524126863
Br05_space_tanks_2dmg_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0xe10dd5a8		2524339853
Br05_space_tanks_3dmg_2         UNIVERSE\SYSTEMS\BR05\br05.ini      0xed117f50		3061015183
Br05_space_beamx_dmg_2      UNIVERSE\SYSTEMS\BR05\br05.ini      0x1e23c4d3		2864310159
Br05_space_beaml_dmg_1      UNIVERSE\SYSTEMS\BR05\br05.ini      0xf8f99a60		2344221071
Br05_space_tankl4_dmg_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0xecfc9a06		2830500174
Br05_wplatform_mineable_1       UNIVERSE\SYSTEMS\BR05\br05.ini      0x16515091		2580457231
Br05_wplatform_mineable_2       UNIVERSE\SYSTEMS\BR05\br05.ini      0x0d58012b		3117341455
zone_br05_pop_ambient_e         UNIVERSE\SYSTEMS\BR05\br05.ini      0xf44aff57		2880159629
zone_br05_pop_ambient_w         UNIVERSE\SYSTEMS\BR05\br05.ini      0x1bf38e1f		2880034700
Br05_space_industrial02_1       UNIVERSE\SYSTEMS\BR05\br05.ini      0xff5594d6		2391802562
Br05_space_industrial02_2       UNIVERSE\SYSTEMS\BR05\br05.ini      0xe45cc56c		2928705218
zone_br05_destroy_vignette_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0x100ab9b0		2547821060
zone_br05_destroy_vignette_2        UNIVERSE\SYSTEMS\BR05\br05.ini      0x0b03e80a		3084703236
zone_br05_destroy_vignette_3        UNIVERSE\SYSTEMS\BR05\br05.ini      0x0204d89c		2547827204
zone_br05_destroy_vignette_4        UNIVERSE\SYSTEMS\BR05\br05.ini      0xe6604d3f		3084660228
zone_br05_destroy_vignette_5        UNIVERSE\SYSTEMS\BR05\br05.ini      0xef677da9		2547792388
zone_br05_destroy_vignette_6        UNIVERSE\SYSTEMS\BR05\br05.ini      0xf46e2c13		3084666372
zone_br05_destroy_vignette_7        UNIVERSE\SYSTEMS\BR05\br05.ini      0xfd691c85		2547798532
zone_br05_destroy_vignette_8        UNIVERSE\SYSTEMS\BR05\br05.ini      0xe7d60114		3084754436
zone_br05_destroy_vignette_9        UNIVERSE\SYSTEMS\BR05\br05.ini      0xeed13182		2547878404
zone_br05_destroy_vignette_10       UNIVERSE\SYSTEMS\BR05\br05.ini      0x15aa6614		3165112519
zone_br05_destroy_vignette_11       UNIVERSE\SYSTEMS\BR05\br05.ini      0x1cad5682		2628246727
Br05_to_Br04_hole       UNIVERSE\SYSTEMS\BR05\br05.ini      0xe0f44e78		3080351366
gcs_refer_system_Br04       UNIVERSE\SYSTEMS\BR05\br05.ini      0xf2e4fda5		3080748878
Zone_Br05_to_Br04_jumphole      UNIVERSE\SYSTEMS\BR05\br05.ini      0x0b7e8d65		2930880263
Br05_suprise_pi_elite_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0xf6d45709		2638773769
Zone_Br05_molly_fighter_interference        UNIVERSE\SYSTEMS\BR05\br05.ini      0x1e1010ba		3001353230
Br05_suprise_br_elite_1         UNIVERSE\SYSTEMS\BR05\br05.ini      0x155adeac		3056013635
Zone_Br05_surprise_interference         UNIVERSE\SYSTEMS\BR05\br05.ini      0xffad647a		2243934348
ZONE_Br05_vignette2_exclusion       UNIVERSE\SYSTEMS\BR05\br05.ini      0x09692f2a		3086538638
ZONE_Br05_vignette4_exclusion       UNIVERSE\SYSTEMS\BR05\br05.ini      0x1c31e51d		2979583875
Br05_telescope_1        UNIVERSE\SYSTEMS\BR05\br05.ini      0x03fdd2d2		2757453132
Br06_01_Base        UNIVERSE\SYSTEMS\BR06\BASES\br06_01_base.ini        0xef8ffaf5		3172672066
Bar         UNIVERSE\SYSTEMS\BR06\BASES\br06_01_base.ini        0x18c51aaa		2215377807
Universe\Systems\Br06\Bases\Rooms\Br06_01_Bar.ini       UNIVERSE\SYSTEMS\BR06\BASES\br06_01_base.ini        0x0b6ce46d		3218752516
Deck        UNIVERSE\SYSTEMS\BR06\BASES\br06_01_base.ini        0xe33652a5		3116431947
Universe\Systems\Br06\Bases\Rooms\Br06_01_Deck.ini      UNIVERSE\SYSTEMS\BR06\BASES\br06_01_base.ini        0xf9f3e2c2		3120647683
Br06_02_Base        UNIVERSE\SYSTEMS\BR06\BASES\br06_02_base.ini        0xf23ef073		3172262469
Bar         UNIVERSE\SYSTEMS\BR06\BASES\br06_02_base.ini        0x18c51aaa		2215377807
Universe\Systems\Br06\Bases\Rooms\Br06_02_Bar.ini       UNIVERSE\SYSTEMS\BR06\BASES\br06_02_base.ini        0x1437ecd2		3213248270
Deck        UNIVERSE\SYSTEMS\BR06\BASES\br06_02_base.ini        0xe33652a5		3116431947
Universe\Systems\Br06\Bases\Rooms\Br06_02_Deck.ini      UNIVERSE\SYSTEMS\BR06\BASES\br06_02_base.ini        0x083217d7		2248298499
Br06_03_Base        UNIVERSE\SYSTEMS\BR06\BASES\br06_03_base.ini        0xe52b0b31		3172049479
Bar         UNIVERSE\SYSTEMS\BR06\BASES\br06_03_base.ini        0x18c51aaa		2215377807
Universe\Systems\Br06\Bases\Rooms\Br06_03_Bar.ini       UNIVERSE\SYSTEMS\BR06\BASES\br06_03_base.ini        0xf94615f6		3214034436
Deck        UNIVERSE\SYSTEMS\BR06\BASES\br06_03_base.ini        0xe33652a5		3116431947
Universe\Systems\Br06\Bases\Rooms\Br06_03_Deck.ini      UNIVERSE\SYSTEMS\BR06\BASES\br06_03_base.ini        0x0cdc82ff		2449693187
Br06_04_Base        UNIVERSE\SYSTEMS\BR06\BASES\br06_04_base.ini        0x152e0cb3		3171639882
Bar         UNIVERSE\SYSTEMS\BR06\BASES\br06_04_base.ini        0x18c51aaa		2215377807
Universe\Systems\Br06\Bases\Rooms\Br06_04_Bar.ini       UNIVERSE\SYSTEMS\BR06\BASES\br06_04_base.ini        0xeeae44a0		3210625294
Deck        UNIVERSE\SYSTEMS\BR06\BASES\br06_04_base.ini        0xe33652a5		3116431947
Universe\Systems\Br06\Bases\Rooms\Br06_04_Deck.ini      UNIVERSE\SYSTEMS\BR06\BASES\br06_04_base.ini        0xeac39e6f		3187944451
Zg/PC/Player/01/A/Stand         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0xfbaadcae		2508714243
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x1981c939		2373979661
IDS_HOTSPOT_NEWSVENDOR      UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x1a8503fa		3046232974
IDS_HOTSPOT_MISSIONVENDOR       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_bar.ini       0x1883a848		2513177291
X/Shipcentre/01         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0xf6ac73be		3195696770
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x1981c939		2373979661
IDS_NN_REPAIR_YOUR_SHIP         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x01b19dce		2480730442
IDS_DEALER_FRONT_DESK       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x1c0be5de		2921426378
IDS_HOTSPOT_COMMODITYTRADER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0xf9ecdd49		2743444233
IDS_HOTSPOT_EQUIPMENTDEALER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x0a7ee84b		3116539275
IDS_EQUIPMENT_ROOM_RIGHT        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_01_deck.ini      0x1e7a1452		2991427971
Zg/PC/Player/01/A/Stand         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0xfbaadcae		2508714243
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x1981c939		2373979661
IDS_HOTSPOT_NEWSVENDOR      UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x1a8503fa		3046232974
IDS_HOTSPOT_MISSIONVENDOR       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_bar.ini       0x1883a848		2513177291
X/Shipcentre/01         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0xf6ac73be		3195696770
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x1981c939		2373979661
IDS_NN_REPAIR_YOUR_SHIP         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x01b19dce		2480730442
IDS_DEALER_FRONT_DESK       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x1c0be5de		2921426378
IDS_HOTSPOT_COMMODITYTRADER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0xf9ecdd49		2743444233
IDS_HOTSPOT_EQUIPMENTDEALER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x0a7ee84b		3116539275
IDS_EQUIPMENT_ROOM_RIGHT        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_02_deck.ini      0x1e7a1452		2991427971
Zg/PC/Player/01/A/Stand         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0xfbaadcae		2508714243
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x1981c939		2373979661
IDS_HOTSPOT_NEWSVENDOR      UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x1a8503fa		3046232974
IDS_HOTSPOT_MISSIONVENDOR       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_bar.ini       0x1883a848		2513177291
X/Shipcentre/01         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0xf6ac73be		3195696770
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x1981c939		2373979661
IDS_NN_REPAIR_YOUR_SHIP         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x01b19dce		2480730442
IDS_DEALER_FRONT_DESK       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x1c0be5de		2921426378
IDS_HOTSPOT_COMMODITYTRADER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0xf9ecdd49		2743444233
IDS_HOTSPOT_EQUIPMENTDEALER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x0a7ee84b		3116539275
IDS_EQUIPMENT_ROOM_RIGHT        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_03_deck.ini      0x1e7a1452		2991427971
Zg/PC/Player/01/A/Stand         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0xfbaadcae		2508714243
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x1981c939		2373979661
IDS_HOTSPOT_NEWSVENDOR      UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x1a8503fa		3046232974
IDS_HOTSPOT_MISSIONVENDOR       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_bar.ini       0x1883a848		2513177291
X/Shipcentre/01         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0xf6ac73be		3195696770
Camera_0        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0xe604303f		3118944142
IDS_HOTSPOT_DECK        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x014d9cfc		2331923727
IDS_HOTSPOT_BAR         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x0588591b		2446905292
IDS_HOTSPOT_COMMODITYTRADER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x0dbb5073		2900400388
IDS_HOTSPOT_EQUIPMENTDEALER_ROOM        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x1981c939		2373979661
IDS_NN_REPAIR_YOUR_SHIP         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x01b19dce		2480730442
IDS_DEALER_FRONT_DESK       UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x1c0be5de		2921426378
IDS_HOTSPOT_COMMODITYTRADER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0xf9ecdd49		2743444233
IDS_HOTSPOT_EQUIPMENTDEALER         UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x0a7ee84b		3116539275
IDS_EQUIPMENT_ROOM_RIGHT        UNIVERSE\SYSTEMS\BR06\BASES\ROOMS\br06_04_deck.ini      0x1e7a1452		2991427971
tradelane_trade_armored         UNIVERSE\SYSTEMS\BR06\br06.ini      0x0d390641		2884172235
missions\encounters\tradelane_trade_armored.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0xe232261a		3042757641
tradelane_trade_freighter       UNIVERSE\SYSTEMS\BR06\br06.ini      0x1d97c0cd		2187491461
missions\encounters\tradelane_trade_freighter.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x1a20ab9e		2243783361
tradelane_trade_transport       UNIVERSE\SYSTEMS\BR06\br06.ini      0xf6beefb2		2611783176
missions\encounters\tradelane_trade_transport.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x13fd42b8		2806714693
area_scout      UNIVERSE\SYSTEMS\BR06\br06.ini      0x09fbbc4c		2937553674
missions\encounters\area_scout.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0xfb35040d		2523640649
area_bh_scout       UNIVERSE\SYSTEMS\BR06\br06.ini      0xe66404cf		3083226248
missions\encounters\area_bh_scout.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x012df4fd		3194448260
area_defend         UNIVERSE\SYSTEMS\BR06\br06.ini      0x182b2a2e		2757135560
missions\encounters\area_defend.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x029961c5		3194550659
area_bh_defend      UNIVERSE\SYSTEMS\BR06\br06.ini      0xee75670c		2509599439
missions\encounters\area_bh_defend.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0x1fde8b29		2997236811
patrolp_gov_patrol      UNIVERSE\SYSTEMS\BR06\br06.ini      0x1d60e377		2759205387
missions\encounters\patrolp_gov_patrol.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0x0278b163		2360136897
patrolp_pirate_patrol       UNIVERSE\SYSTEMS\BR06\br06.ini      0xf90a5dcd		3148753935
missions\encounters\patrolp_pirate_patrol.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0xf789148f		2614319817
patrolp_bh_patrol       UNIVERSE\SYSTEMS\BR06\br06.ini      0x003d4f95		2835623496
missions\encounters\patrolp_bh_patrol.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x0056dc30		2721199299
area_assault        UNIVERSE\SYSTEMS\BR06\br06.ini      0xf602c692		2740665031
missions\encounters\area_assault.ini        UNIVERSE\SYSTEMS\BR06\br06.ini      0x02c77616		2874448200
area_bh_assault         UNIVERSE\SYSTEMS\BR06\br06.ini      0x1f94d93b		2159923528
missions\encounters\area_bh_assault.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0xe3669faf		2241801675
patrolp_assault         UNIVERSE\SYSTEMS\BR06\br06.ini      0x1c1b31f7		3108747146
missions\encounters\patrolp_assault.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x0164b8bf		2976479936
patrolp_bh_assault      UNIVERSE\SYSTEMS\BR06\br06.ini      0x16dec9a0		2240987208
missions\encounters\patrolp_bh_assault.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0xf795bfd1		3014879560
area_trade_freighter        UNIVERSE\SYSTEMS\BR06\br06.ini      0xebf738ce		2652072012
missions\encounters\area_trade_freighter.ini        UNIVERSE\SYSTEMS\BR06\br06.ini      0x074c352f		2285955849
area_trade_transport        UNIVERSE\SYSTEMS\BR06\br06.ini      0x00de17b1		2279454401
missions\encounters\area_trade_transport.ini        UNIVERSE\SYSTEMS\BR06\br06.ini      0x0e91dc09		2864091277
area_trade_armored      UNIVERSE\SYSTEMS\BR06\br06.ini      0x078ec99b		2183622977
missions\encounters\area_trade_armored.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0x18048585		3010773696
tradep_trade_freighter      UNIVERSE\SYSTEMS\BR06\br06.ini      0xf19e2839		2547901708
missions\encounters\tradep_trade_freighter.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0x0a85ff2e		2751820046
tradep_trade_transport      UNIVERSE\SYSTEMS\BR06\br06.ini      0x1ab70746		2383625089
missions\encounters\tradep_trade_transport.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0x03581608		2264074890
tradep_trade_armored        UNIVERSE\SYSTEMS\BR06\br06.ini      0xf30f1238		2896564167
missions\encounters\tradep_trade_armored.ini        UNIVERSE\SYSTEMS\BR06\br06.ini      0xf6f4ce25		2894987588
area_trade_trader       UNIVERSE\SYSTEMS\BR06\br06.ini      0x15ca02f1		2436400905
missions\encounters\area_trade_trader.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0xee5e39de		3173342927
tradep_trade_trader         UNIVERSE\SYSTEMS\BR06\br06.ini      0xff174666		2383808967
missions\encounters\tradep_trade_trader.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x1128fac0		2881138500
area_scavenger      UNIVERSE\SYSTEMS\BR06\br06.ini      0x00908cc1		3083894858
missions\encounters\area_scavenger.ini      UNIVERSE\SYSTEMS\BR06\br06.ini      0xec110e93		2514807937
area_lifter         UNIVERSE\SYSTEMS\BR06\br06.ini      0x04b251ad		2169655619
missions\encounters\area_lifter.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x0115ac3f		3201653892
area_repair         UNIVERSE\SYSTEMS\BR06\br06.ini      0xf0e3d9d4		3027491851
missions\encounters\area_repair.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0xeddcb32f		2735170572
miningp_trade_transport         UNIVERSE\SYSTEMS\BR06\br06.ini      0xf6fbad6c		2908649088
missions\encounters\miningp_trade_transport.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x1212e996		2594053070
miningp_scavenger       UNIVERSE\SYSTEMS\BR06\br06.ini      0xf26734b5		2326647434
missions\encounters\miningp_scavenger.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0xedaf7091		2725102400
universe\heavens\shapes.ini         UNIVERSE\SYSTEMS\BR06\br06.ini      0x1f86f6f3		2207877641
solar\nebula\Br06_Islay_ice_cloud.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x159c692d		3014203594
solar\nebula\Br06_Arran_ice_cloud.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x08c2b6a0		3165411847
solar\asteroids\Br06_Arran_ice_asteroid_field.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x1c8f4575		2913179077
solar\asteroids\Br06_Skye_ice_asteroid_field.ini        UNIVERSE\SYSTEMS\BR06\br06.ini      0xe53e7653		2229972289
solar\asteroids\Br06_Islay_ice_asteroid_field.ini       UNIVERSE\SYSTEMS\BR06\br06.ini      0x010338d9		2920459915
